Исходный список студентов
Иванов Иван,4,5,3
Петров Петр,3,4,2
Сидоров Алексей,5,5,4
Козлова Мария,4,3,5
Смирнова Анна,3,4,4
Иванов Петр,4,5,5
Иванов Иван,4,5,3
Петров Петр,3,4,2
Сидоров Алексей,5,5,4
Козлова Мария,4,3,5
Смирнова Анна,3,4,4
Иванов Петр,4,5,5
Иванов Иван,4,5,3
Петров Петр,3,4,2
Сидоров Алексей,5,5,4
Козлова Мария,4,3,5
Смирнова Анна,3,4,4
Иванов Петр,4,5,5
Иванов Иван,4,5,3
Петров Петр,3,4,2
Сидоров Алексей,5,5,4
Козлова Мария,4,3,5
Смирнова Анна,3,4,4
Иванов Петр,4,5,5

Студенты с высоким средним баллом
Сидоров Алексей,4.666666666666667
Иванов Петр,4.666666666666667
Сидоров Алексей,4.666666666666667
Иванов Петр,4.666666666666667
Сидоров Алексей,4.666666666666667
Иванов Петр,4.666666666666667
Сидоров Алексей,4.666666666666667
Иванов Петр,4.666666666666667
